"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6979","Login test for performance_glitch_user","test_01","Wed Aug 06 12:52:28 IRKT 2025","passed","Wed Aug 06 12:52:35 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1882","Login test for error_user","test_01","Wed Aug 06 12:52:35 IRKT 2025","passed","Wed Aug 06 12:52:37 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","6979","Performance glitch user behavior","test_01","Wed Aug 06 12:52:46 IRKT 2025","passed","Wed Aug 06 12:52:53 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1904","Login test for locked_out_user","test_01","Wed Aug 06 12:52:24 IRKT 2025","passed","Wed Aug 06 12:52:26 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1945","Login with invalid credentials","test_01","Wed Aug 06 12:52:43 IRKT 2025","passed","Wed Aug 06 12:52:44 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1920","Login test for problem_user","test_01","Wed Aug 06 12:52:26 IRKT 2025","passed","Wed Aug 06 12:52:28 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1920","Problem user specific behavior","test_01","Wed Aug 06 12:52:44 IRKT 2025","passed","Wed Aug 06 12:52:46 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1909","Login test for","test_01","Wed Aug 06 12:52:39 IRKT 2025","passed","Wed Aug 06 12:52:41 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1964","Error user behavior","test_01","Wed Aug 06 12:52:53 IRKT 2025","passed","Wed Aug 06 12:52:55 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1896","Login test for empty_user","test_01","Wed Aug 06 12:52:41 IRKT 2025","passed","Wed Aug 06 12:52:43 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1416","Visual user behavior","test_01","Wed Aug 06 12:52:55 IRKT 2025","passed","Wed Aug 06 12:52:57 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1979","Check H4 titles and buttons","test_01","Wed Aug 06 12:52:20 IRKT 2025","passed","Wed Aug 06 12:52:22 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1973","Login test for visual_user","test_01","Wed Aug 06 12:52:37 IRKT 2025","passed","Wed Aug 06 12:52:39 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
"","1933","Login test for standard_user","test_01","Wed Aug 06 12:52:22 IRKT 2025","passed","Wed Aug 06 12:52:24 IRKT 2025","Test Suite: test_01 - Test Suite 01","main.spec.ts","",""
